contribution_date,new_date,id,energy_source,clean_cooking,title,mapper,contributor,purp_prob_sol_description),solution_link,sol_open_source,sol_Intellectual_Property,sol_replication_training,total_sol_unit_cost,prototype,product,product_availability,product_advance_order,solution_trl,solution_diffused,end-user_feedback,efficiency_benchmarks,bottlenecks,sdg_tag_1,sdg_tag_2,sdg_tag_3,sdg_tag_4,sdg_tag_5,thematic_tag_1,thematic_tag_2,thematic_tag_3,thematic_tag_4,thematic_tag_5,Latitude ,Longitude ,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,country,regional_bureau,trl_level,sol_type
Sun May 30 2021 13:48:32 GMT+0000 (Coordinated Universal Time),Sun May 30 2021 13:48:32,3100,Thermal,,Eco Char,AccLab Algeria,Contributor 1,"We upcycle wastes such as food organic wastes coffee groundsolive wastes to a higher value products such as charcoal briquettesbiomass briquettes compost pellets bio oil and biogas for self useThe best thing about this is that : - We produce zero wastes and totalclean energy means we tackle pollution and produce clean energy- we gonna use a mobile application to collect wastes so everyonecan participate and gain money means to tackle poverty - themarket is hungry for this product so we gonna go to export meansreviving the economy.


			


			",,,,,,,,,,,,,,,1.0,6.0,13.0,,,food waste management,youth,coffee,olives,,36.7607349,3.0261856,,,,,,,,,,Algeria,rb_arab_states,,
Mon Jun 28 2021 13:56:30 GMT+0000 (Coordinated Universal Time),Mon Jun 28 2021 13:56:30,3177,Wind,,Wind power generator,AccLab Angola,Contributor 2,"The system to obtain electrical energy through a wind power generator works with an aerogenerator, a charge controller, a battery, and an inverter.


			


			",,,,,,,,,,,,,,,1.0,7.0,13.0,,,alternative energy,clean energy,climate change,community empowerment,,-12.833226,13.6010742,file: img-10,,,,,,,,,Angola,rb_africa,,
Mon Jun 28 2021 13:32:36 GMT+0000 (Coordinated Universal Time),Mon Jun 28 2021 13:32:36,3176,Hydro,,Hybrid Generator,AccLab Angola,Contributor 3,"The production of fuel from water is done through the use of thermal energy that is discarded by the exhaust pipe of conventional generator engines, to produce the plasma, which is a more efficient fuel than gasoline or diesel.


			


			",,,,,,,,,,,,,,,10.0,12.0,13.0,,,,alternative energy,electricity,polution reduction,,-8.5158356,16.0817871,file: img-121,,,,,,,,,Angola,rb_africa,,
Thu Nov 12 2020 06:03:43 GMT+0000 (Coordinated Universal Time),Thu Nov 12 2020 06:03:43,2261,Renewable general,,Electric Power Microgeneration System,AccLab Angola,Contributor 4,"The electric power microgeneration system is designed to provide rural communities with electric power.

",,,,,,,,,,,,,,,1.0,7.0,9.0,10.0,11.0,clean energy,community empowerment,rural electrification,social justice,welfare,-12.776115,15.687688,file: img-230,,,,,,,,,Angola,rb_africa,,
Wed Jul 21 2021 10:12:39 GMT+0000 (Coordinated Universal Time),Wed Jul 21 2021 10:12:39,3236,Household application,x,Solar Cooker,AccLab Angola,Contributor 5,"Solar Cooker


			


			


			",,,,,,,,,,,,,,,7.0,12.0,13.0,,,innovation,polution reduction,solar energy,,,-12.86536,13.8098145,file: img-305,,,,,,,,,Angola,rb_africa,,
Thu Jul 22 2021 06:51:22 GMT+0000 (Coordinated Universal Time),Thu Jul 22 2021 06:51:22,3240,Thermal,,Biogas production through a Biodigester,AccLab Angola,Contributor 6,"Biogas is produced from cattle manure and organic waste


			


			",,,,,,,,,,,,,,,7.0,13.0,,,,alternative energy,biogas,environment friendly,,,-12.910466,14.0356608,file: img-324,,,,,,,,,Angola,rb_africa,,
Wed Apr 06 2022 17:14:25 GMT+0000 (Coordinated Universal Time),Wed Apr 06 2022 17:14:25,4384,Solar ,,A circuit that provides high quality solar lighting: Liter of Light (global),AccLab Argentina,Contributor 7,"In many towns in Argentina, power lines become unfeasible. This brings social and development problems in the communities. The lack of access to quality public lighting generates insecurity, not only from the criminal point of view, but also from the daily routine. One of the things that is often said about the lack of lighting, both in homes and abroad, is that it ""shortens the day"", relegating daily tasks only to moments of sunlight. We also see poor lighting in houses as a major problem, which generates lack of hygiene and self-development.  Liter of Light Argentina makes quick-install public luminaires not only for specific interventions in neighborhoods, but also to provide lighting in cases of emergencies in which the neighborhood is left without electricity. The solution is based on the installation of luminaires that work with photovoltaic energy with a current of 12v, which are made with cheap and accessible materials throughout the world. These luminaires can be for inside houses, or units of 3 meters high to illuminate an area of up to 40 square meters. The power supply of the system will use lead acid batteries (whose value ranges from US$20 to 50, which will last between 2 and 3 years). It comes with a 30 watt solar panel and can withstand strong winds and 12v outdoor lighting. All these elements can be obtained anywhere in the world, hence the versatility of this system. In turn, these systems, by providing 12v power, can be used to power cell phones, UHF and VHF radios, and other electronics. Thus generating the possibility of communication in case of supply cuts or consequences of natural phenomena. This means that the people of the communities not only learn about the power generation systems, the electrical risk (since these systems replace the clandestine electrical connections that generate fires), and the electrical infrastructure, but also generate in them more strength in knowledge, and communication capacity in case of health emergency.  At the same time, they carry out health, hygiene and sanitation programs since some communities are also far from the health points. These programs help improve the quality of life of people with healthy habits and community nursing actions. T Therefore, this solution gives energy, light, security, adaptation, and technical and health knowledge to the populations. In other words, it not only gives them light, energy, and primary health care, but it leaves them the knowledge, and some infrastructure and equipment so that they can continue to work cooperatively.",http://proyectoluz.org,x,,x,,x,,,,Prototype system,"Liter of Light has installed more than 350,000 bottle lights in more than 15 countries and taught green skills to empower grassroots entrepreneurs at every stop. Liter of Light's open source technology has been recognized by the UN and adopted for use in some UNHCR camps. Liter of Light is the proud recipient of the 2016 St. Andrews Prize for the Environment, the 2015 Zayed Future Energy Prize, and a winner of the 2014-2015 World Habitat Award.",https://www.youtube.com/watch?v=o-Fpsw_yYPg,"The lithium phosphate battery gives 12-16 hours of light everyday. It automatically lights up at nightfall and comes with an on/off switch.It has different lighting solutions: solar lamp, house light, street light and bottle light.",,7.0,9.0,11.0,12.0,13.0,affordable energy,alternative energy,sustainable energy,"sustainable manufacturing, cooperativism",the vulnerable members of our society,-34.996496,-64.967282,file: img-525,file: img-526,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Tue Apr 12 2022 17:16:15 GMT+0000 (Coordinated Universal Time),Tue Apr 12 2022 17:16:15,4509,Renewable general,,Social plug-ins that provide hot showers: Sumando Energas (Adding Energies),AccLab Argentina,Contributor 8,"The purpose of this project is to meet people's basic needs in slums by harnessing waste recycling and ""home"" use of renewable energies. Sumando Energas is dedicated to installing what they call social plug-ins. They offer workshops so that by means of using aluminum cans, plastic bottles, PVC pipes, Styrofoam, and tetra paks, volunteers and people interested in different disciplines can learn how to use solar energy, heat water, and provide a hot shower to families in left-behind neighborhoods. This project involves a collaborative and participatory construction with the families.",https://www.sumandoenergias.org/#what-we-do,x,,x,,x,,,,Prototype system,"So far, over one hundred solar water heaters and their corresponding showers have been installed. In each case, feedback from end users is welcome.",https://www.youtube.com/embed/yqc5vT8CjIE&amp;t=19s,"80% of the year, the family has free hot water, and the equipment always works, with almost no chance of breakage or natural damage, so it is maintenance-free.",,7.0,9.0,10.0,11.0,,accessibility,inclusion,solar water heater,sustainable energy,the vulnerable members of our society,-34.996496,-64.967282,file: img-357,file: img-358,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Tue Apr 12 2022 17:32:09 GMT+0000 (Coordinated Universal Time),Tue Apr 12 2022 17:32:09,4510,Solar,,Hot water for showers and air heating systems:Ducha de Sol (Sun Shower),AccLab Argentina,Contributor 9,"This is a socio-environmental project which objective is to provide hot water for showers and air heating systems for all types of homes, harnessing the clean and sustainable energy of the sun. To do this, a solar water heater and a solar heater were created, made with recyclable and low-cost materials, which reduce the consumption of traditional fuels and contribute to caring for the environment. In addition, in vulnerable populations, they allow people to obtain hygiene and comfort by providing the possibility of a hot shower and a warm home in winter, which improves self-esteem and social inclusion.",https://duchadesol5.webnode.com,x,,x,,x,,,,Prototype system,"The project has reached over 500 homes directly and over 5,000 homes through its replication in other provinces and countries. In total, it has spread among approximately 2,000 people. In every case, end users can share their experience and give their opinion.",https://www.youtube.com/embed/uLfx8mAgnaM,"With this solar water heater, 70% of the fuel used in conventional water heaters per year can be saved. This implies triple impact actions that avoid more than 70% of greenhouse gas emissions of family origin, which pollute the atmosphere and lead to global warming.",,7.0,9.0,10.0,11.0,,accessibility,solar water heater,sustainable energy,the vulnerable members of our society,,-34.787093,-68.438187,file: img-214,file: img-215,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Fri Apr 22 2022 15:06:22 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 15:06:22,4546,Solar,,Solar Electric Mobility Prototype: EcoAndina Foundation,AccLab Argentina,Contributor 10,"The concept of electric solar mobility arises after observing the need for short but difficult transfers in the puna and the scarcity and high cost of fuel. In parallel, the region has a high level of solar radiation every day. The project proposes to introduce adapted bicycles with an electric engine and a battery that is recharged through photovoltaic panels located in ""Solar Service Stations"", which provide a range of about 30 km.",https://www.ecoandina.org/proyectos/proyectos-rurales/movilidad-electrica-solar,x,,x,,x,,,,Prototype system," More than 500 people, including decision makers, experienced an electric bike ride.All of them were allowed to give a feedback about their experiences.",,"People who work in the field and teachers would shorten travel times and avoid the use of fossil fuel. This has both immediate and long-term benefits. This project could be a starting point to achieve a paradigm shift in the Andean region. It would be part of the public debates on innovative clean and renewable energy mobility equipment, not fossil, to be used in urban and rural areas.",,7.0,9.0,10.0,11.0,,construction,inclusion,movilidad,renewable energy,sustainability strategy,-34.996496,-64.967282,file: img-51,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
